,Image,Accuracy,F1,Jaccard,Recall,Precision
354,12209,0.9960250854492188,0.5654712260216848,0.3941860465116279,0.8614993646759848,0.4208566108007449
355,12226,0.9970664978027344,0.9464447384915385,0.8983342147012163,0.9988240482140233,0.8992853361566967
356,12227,0.99688720703125,0.9448872078886937,0.8955319421328896,0.995729537366548,0.8989847063359465
357,12242,0.9955596923828125,0.9448863636363637,0.8955304254173398,0.9998997895580719,0.89561080692936
358,12243,0.9950141906738281,0.9394599101394229,0.8858315863032844,0.9997042586750788,0.8860637833114897
359,12270,0.99566650390625,0.9584004687271129,0.920123751933624,0.9897141128422327,0.9290075252023285
360,12294,0.9754600524902344,0.8177362232610851,0.6916698619631901,0.9990999723068402,0.6921010982686682
361,12329,0.9806404113769531,0.8765897429662233,0.7802935191999654,0.9956360824172789,0.7829713292788879
362,1233,1.0,1.0,0.0,1.0,1.0
363,12364,0.9921531677246094,0.9401007542005183,0.8869718116380021,0.9836085552373408,0.9002788622420524
364,12373,0.9966468811035156,0.9717608507083882,0.9450727988502156,0.9884321286190445,0.9556426134209529
365,12378,0.9978561401367188,0.9810224893631391,0.9627518557794273,0.9852143244709712,0.9768661735036988
